time_s,altitude_agl_m,AGL_ft
18.47773322,3041.855639,9980.328353
18.61289854,3050.146892,10007.53195
18.72299326,3056.760497,10029.23119
18.83308798,3063.248893,10050.51962
18.9431827,3069.612337,10071.39808
19.05327742,3075.851077,10091.86738
19.16337214,3081.965357,10111.92834
19.27346686,3087.955416,10131.58172
19.42335653,3095.91138,10157.68524
19.44648228,3097.11844,10161.6456
19.46960803,3098.320044,10165.58807
19.49273377,3099.516196,10169.51264
19.51585952,3100.706897,10173.41933
19.53898527,3101.892149,10177.30814
19.58523677,3104.246314,10185.03216
19.63148826,3106.578708,10192.68474
19.67773976,3108.889345,10200.26594
19.72399125,3111.178242,10207.77581
19.82398126,3116.052322,10223.76767
19.92397126,3120.82502,10239.42689
20.02396126,3125.49649,10254.75398
20.12395126,3130.066882,10269.74944
20.22394127,3134.536344,10284.41375
20.33649171,3139.446686,10300.52458
20.44904216,3144.229537,10316.21711
20.5615926,3148.885097,10331.492
20.67414305,3153.413561,10346.34989
20.78669349,3157.815118,10360.7914
20.89924394,3162.089954,10374.81714
21.1287143,3170.413771,10402.12758
21.16983601,3171.849957,10406.83971
21.21095772,3173.269306,10411.49659
21.25207943,3174.671826,10416.09826
21.29320114,3176.057524,10420.64474
21.33432285,3177.426409,10425.13605
21.41656627,3180.11377,10433.95328
21.49880969,3182.733968,10442.55015
21.5810531,3185.287064,10450.92686
21.66329652,3187.773117,10459.0836
21.8146811,3192.174086,10473.52318
21.96606568,3196.34846,10487.2193
22.11745026,3200.296586,10500.1731
22.26883484,3204.018802,10512.38569
22.42021942,3207.515437,10523.85815
22.62422625,3211.871261,10538.14961
22.82823308,3215.818767,10551.10137
23.03223991,3219.358692,10562.71587
23.23624674,3222.49175,10572.99543
23.44025357,3225.218637,10581.94235
23.68105039,3227.915566,10590.79097
23.92184722,3230.048682,10597.78972
24.16264404,3231.619122,10602.94234
24.35891729,3232.483794,10605.77933
24.55519054,3232.976208,10607.39494
24.71747713,3233.102864,10607.8105
24.72,3233.102832,10607.81039
24.75093634,3233.095709,10607.78702
24.78187268,3233.082263,10607.7429
24.84374536,3233.042791,10607.6134
24.90561805,3232.978303,10607.40181
24.96749073,3232.889068,10607.10903
25.22294693,3232.264051,10605.05835
25.47840313,3231.240179,10601.69903
25.73385933,3229.835309,10597.08965
25.98931554,3228.06815,10591.2916
26.34575272,3225.034714,10581.3389
26.70218991,3221.391643,10569.38598
27.05862709,3217.198957,10555.62978
27.41506428,3212.517724,10540.27065
27.86273504,3206.038255,10519.01152
28.3104058,3198.995141,10495.90306
28.75807656,3191.489555,10471.27723
29.20574732,3183.609472,10445.42268
29.65341808,3175.430079,10418.58609
30.29499896,3163.308157,10378.81406
30.93657985,3150.841701,10337.91162
31.57816073,3138.135458,10296.22244
32.21974162,3125.264586,10253.99311
32.8613225,3112.282373,10211.39847
33.5530086,3098.203981,10165.20726
34.2446947,3084.070913,10118.83667
34.9363808,3069.904648,10072.35715
35.6280669,3055.719534,10025.81579
36.319753,3041.525139,9979.243981
37.05305569,3026.473802,9929.860546
37.78635839,3011.424477,9880.483709
38.51966108,2996.380462,9831.124296
39.25296378,2981.343822,9781.789079
40.4839306,2956.122552,9699.038092
41.71489743,2930.929736,9616.380463
42.94586425,2905.766362,9533.819434
44.17683108,2880.632526,9451.355317
45.29841705,2857.757783,9376.303285
46.11183729,2841.183391,9321.922706
46.58111134,2831.627298,9290.569164
